UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON20,DRUG20,LIQUOR20,WEAPON21,DRUG21,LIQUOR21,WEAPON22,DRUG22,LIQUOR22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude
165167001,Cambridge College,2182900,Main Campus,500 Rutherford Ave,Charlestown,MA,02129,2,"Private nonprofit, 4-year or above",478.0,1657.0,2135.0,,,,,,,,,,1,1,1,"500 Rutherford Ave, Charlestown, MA 02129",42.3813909,-71.0726639
165167004,Cambridge College,2182900,Cambridge College California Branch,9469 Haven Avenue,Rancho Cucamonga,CA,91730,2,"Private nonprofit, 4-year or above",478.0,1657.0,2135.0,,,,0.0,0.0,0.0,,,,1,1,1,"9469 Haven Avenue, Rancho Cucamonga, CA 91730",34.080545,-117.575617
165167005,Cambridge College,2182900,Lawrence Regional Center,360 Merrimack street,Lawrence,MA,01841,2,"Private nonprofit, 4-year or above",478.0,1657.0,2135.0,,,,0.0,0.0,0.0,,,,1,1,1,"360 Merrimack street, Lawrence, MA 01841",42.70259459028933,-71.15193639664233
165194001,Cape Cod Community College,216800,Main Campus,2240 Iyannough Road,West Barnstable,MA,02668,4,"Public, 2-year",854.0,1482.0,2336.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,1,1,1,"2240 Iyannough Road, West Barnstable, MA 02668",41.6918646,-70.33658324864206
165194003,Cape Cod Community College,216800,Hyannis Center,540 Main Street,Hyannis,MA,02601,4,"Public, 2-year",854.0,1482.0,2336.0,,,,,,,,,,1,1,1,"540 Main Street, Hyannis, MA 02601",41.65097395,-70.289358432813
165194004,Cape Cod Community College,216800,Bridgewater State University ,200 Great Hill Drive ,Bridgewater ,MA,02325,4,"Public, 2-year",854.0,1482.0,2336.0,,,,,,,0.0,0.0,0.0,0,1,1,"200 Great Hill Drive , Bridgewater , MA 02325",41.9888626,-70.9592204
165255001,Catherine Hinds Institute of Esthetics,2220400,Main Campus,300 WILDWOOD AVE,WOBURN,MA,01801,9,"Private for-profit, less-than 2-year",2.0,184.0,186.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"300 WILDWOOD AVE, WOBURN, MA 01801",42.4935629,-71.1372098
165264001,Laboure College of Healthcare,632400,Laboure College of Healthcare,303 Adams Street,Milton,MA,02186,2,"Private nonprofit, 4-year or above",76.0,907.0,983.0,,,,,,,,,,1,1,1,"303 Adams Street, Milton, MA 02186",42.2606988,-71.05851873895253
165495001,Conway School of Landscape Design,2274300,Village Hill Campus,88 Village Hill Road,Northampton,MA,01060,2,"Private nonprofit, 4-year or above",7.0,11.0,18.0,,,,,,,0.0,0.0,0.0,1,1,1,"88 Village Hill Road, Northampton, MA 01060",42.3138149,-72.648721
165556001,Lincoln Technical Institute-Somerville,1246115,Main Campus,5 Middlesex Ave,Somerville,MA,02145,9,"Private for-profit, less-than 2-year",42.0,357.0,399.0,,,,,,,,,,1,1,1,"5 Middlesex Ave, Somerville, MA 02145",42.3907515,-71.081841
165608001,Diman Regional Technical Institute,551900,Main Campus,251 STONEHAVEN RD,FALL RIVER,MA,02723,7,"Public, less-than 2-year",4.0,40.0,44.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1,1,1,"251 STONEHAVEN RD, FALL RIVER, MA 02723",41.69991685,-71.12460007666203
165662002,Emerson College,214600,Emerson College European Center,"Kasteellaan 20, 5855 AE Well, L, The Netherlands",Well,,5855AE,2,"Private nonprofit, 4-year or above",1664.0,4227.0,5891.0,,,,,,,,,,1,1,1,,46.3144754,11.0480288
165662003,Emerson College,214600,Emerson College - Los Angeles Program,5960 West Sunset Blvd,Los Angeles,CA,90028,2,"Private nonprofit, 4-year or above",1664.0,4227.0,5891.0,,,,,,,,,,1,1,1,"5960 West Sunset Blvd, Los Angeles, CA 90028",34.0979533877551,-118.31992404081632
165699001,Endicott College,214800,Main Campus,376 HALE ST,BEVERLY,MA,01915,2,"Private nonprofit, 4-year or above",1351.0,2655.0,4006.0,,,,,,,0.0,0.0,0.0,1,1,1,"376 HALE ST, BEVERLY, MA 01915",42.55504,-70.85058
165699002,Endicott College,214800,Madrid Campus,"Calle Velazquez 140, 28006 Madrid, Spain",Madrid,,28006,2,"Private nonprofit, 4-year or above",1351.0,2655.0,4006.0,,,,,,,,,,1,1,1,,46.3144754,11.0480288
165802001,Fisher College,215000,Main Campus,118 BEACON ST,BOSTON,MA,02116,2,"Private nonprofit, 4-year or above",487.0,934.0,1421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,"118 BEACON ST, BOSTON, MA 02116",42.355367900000005,-71.07373780610305
