UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON20,DRUG20,LIQUOR20,WEAPON21,DRUG21,LIQUOR21,WEAPON22,DRUG22,LIQUOR22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude
218140001,Horry-Georgetown Technical College,492500,Conway Campus,2050 HWY. 501 E.,CONWAY,SC,29526,4,"Public, 2-year",2816.0,5321.0,8137.0,,,,,,,,,,1,1,1,"2050 HWY. 501 E., CONWAY, SC 29526",33.79894914205785,-79.00407852164797
218140002,Horry-Georgetown Technical College,492500,Grand Strand Campus,743 Hemlock Avenue,Myrtle Beach,SC,29577,4,"Public, 2-year",2816.0,5321.0,8137.0,,,,,,,,,,1,1,1,"743 Hemlock Avenue, Myrtle Beach, SC 29577",33.6589921,-78.9417211
218159001,Kenneth Shuler School of Cosmetology-North Augusta,3052300,Kenneth Shuler School of Cosmetology and Hair Design,1113 Knox Avenue,North Augusta,SC,29841,9,"Private for-profit, less-than 2-year",4.0,109.0,113.0,,,,,,,,,,1,1,1,"1113 Knox Avenue, North Augusta, SC 29841",33.50149011359492,-81.95936908563299
218414001,Newberry College,344000,Main Campus,2100 COLLEGE ST,NEWBERRY,SC,29108,2,"Private nonprofit, 4-year or above",724.0,588.0,1312.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,"2100 COLLEGE ST, NEWBERRY, SC 29108",34.283829,-81.622773
218441004,North Greenville University,344100,Lancaster Campus,405 Lancaster Avenue,Greer,SC,29650,2,"Private nonprofit, 4-year or above",995.0,1130.0,2125.0,,,,,,,,,,1,1,1,"405 Lancaster Avenue, Greer, SC 29650",34.940744499999994,-82.25491599709466
218520001,Piedmont Technical College,399200,Lex Walter's Campus,620 NORTH EMERALD ROAD,GREENWOOD,SC,29646,4,"Public, 2-year",1664.0,3651.0,5315.0,,,,,,,,,,1,1,1,"620 NORTH EMERALD ROAD, GREENWOOD, SC 29646",34.20573935,-82.12253742103839
218520003,Piedmont Technical College,399200,Edgefield County Center,506 Main Street,Edgefield,SC,29824,4,"Public, 2-year",1664.0,3651.0,5315.0,,,,,,,,,,1,1,1,"506 Main Street, Edgefield, SC 29824",33.78847571428572,-81.9251005510204
218520005,Piedmont Technical College,399200,McCormick County Center,1008 Kelly Street,McCormick,SC,29835,4,"Public, 2-year",1664.0,3651.0,5315.0,,,,,,,,,,1,1,1,"1008 Kelly Street, McCormick, SC 29835",33.9145297965986,-82.30811688959473
218520006,Piedmont Technical College,399200,Newberry County Center,1922 Wilson Rd.,Newberry,SC,29108,4,"Public, 2-year",1664.0,3651.0,5315.0,,,,,,,,,,1,1,1,"1922 Wilson Rd., Newberry, SC 29108",34.294320799999994,-81.60381814757658
218520007,Piedmont Technical College,399200,Saluda County Center,701 Batesburg Highway,Saluda,SC,29138,4,"Public, 2-year",1664.0,3651.0,5315.0,,,,,,,,,,1,1,1,"701 Batesburg Highway, Saluda, SC 29138",33.997454,-81.769015
