UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON20,DRUG20,LIQUOR20,WEAPON21,DRUG21,LIQUOR21,WEAPON22,DRUG22,LIQUOR22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude
177834005,A T Still University of Health Sciences,247700,El Rio Campus,1230 S. Cherrybell Stravenue ,Tucson,AZ,85713,2,"Private nonprofit, 4-year or above",1353.0,2370.0,3723.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1230 S. Cherrybell Stravenue , Tucson, AZ 85713",32.2032086,-110.9458401
177834006,A T Still University of Health Sciences,247700,Family HealthCare Network Campus,2333 S. Mooney Blvd.,Visalia,CA,93277,2,"Private nonprofit, 4-year or above",1353.0,2370.0,3723.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"2333 S. Mooney Blvd., Visalia, CA 93277",36.31004100129518,-119.31390652327087
177834007,A T Still University of Health Sciences,247700,HealthPoint Campus,955 Powell Ave. SW,Renton,WA,98057,2,"Private nonprofit, 4-year or above",1353.0,2370.0,3723.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"955 Powell Ave. SW, Renton, WA 98057",47.47047245,-122.23218857224276
177834008,A T Still University of Health Sciences,247700,HealthSource of Ohio Campus,612 South High Street,Mt. Orab,OH,45154,2,"Private nonprofit, 4-year or above",1353.0,2370.0,3723.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"612 South High Street, Mt. Orab, OH 45154",39.0183058,-83.924118
177834009,A T Still University of Health Sciences,247700,North Country Campus,2920 N. 4th Street,Flagstaff,AZ,86004,2,"Private nonprofit, 4-year or above",1353.0,2370.0,3723.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"2920 N. 4th Street, Flagstaff, AZ 86004",35.215934282828286,-111.6134112020202
177834010,A T Still University of Health Sciences,247700,Northwest Regional PCA Campus,3653 SE 34th Ave.,Portland,OR,97202,2,"Private nonprofit, 4-year or above",1353.0,2370.0,3723.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"3653 SE 34th Ave., Portland, OR 97202",45.4960381,-122.6297589
177834013,A T Still University of Health Sciences,247700,Waianae Coast Campus,86-260 Farrington Hwy.,Waianae,HI,96792,2,"Private nonprofit, 4-year or above",1353.0,2370.0,3723.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"86-260 Farrington Hwy., Waianae, HI 96792",21.4300677,-158.17942750803013
177834014,A T Still University of Health Sciences,247700,Near North Campus,1276 N. Clybourn Ave.,Chicago,IL,60610,2,"Private nonprofit, 4-year or above",1353.0,2370.0,3723.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1276 N. Clybourn Ave., Chicago, IL 60610",41.9052307,-87.64223467590574
177834016,A T Still University of Health Sciences,247700,San Ysidro Health Center,1601 Precision Park Lane,San Diego,CA,92173,2,"Private nonprofit, 4-year or above",1353.0,2370.0,3723.0,,,,0.0,0.0,0.0,0,0,0,0,1,1,"1601 Precision Park Lane, San Diego, CA 92173",32.566979,-117.059381
177834019,A T Still University of Health Sciences,247700,The Wright Center,501 South Washington Avenue,Scranton,PA,18505,2,"Private nonprofit, 4-year or above",1353.0,2370.0,3723.0,,,,0.0,0.0,0.0,0,0,0,0,1,1,"501 South Washington Avenue, Scranton, PA 18505",41.40196995,-75.66918300264908
177968006,Lindenwood University,248000,St. Louis City - Old Post Office,815 Olive Street,Saint Louis,MO,63101,2,"Private nonprofit, 4-year or above",2675.0,4325.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"815 Olive Street, Saint Louis, MO 63101",38.6292744,-90.1925841
177986001,Logan University,470300,Main Campus,1851 SCHOETTLER RD,CHESTERFIELD,MO,63017,2,"Private nonprofit, 4-year or above",765.0,970.0,1735.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1851 SCHOETTLER RD, CHESTERFIELD, MO 63017",38.6313094,-90.5423348
177995002,Metropolitan Community College-Kansas City,248400,Metropolitan Community College-Maple Woods,2601 NE BARRY RD,KANSAS CITY,MO,64156,4,"Public, 2-year",5203.0,7669.0,12872.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"2601 NE BARRY RD, KANSAS CITY, MO 64156",39.2468908,-94.5483451
177995006,Metropolitan Community College-Kansas City,248400,Metropolitan Community College- Advanced Technical Skills Institute,2944 Troost,KANSAS CITY,MO,64109,4,"Public, 2-year",5203.0,7669.0,12872.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"2944 Troost, KANSAS CITY, MO 64109",39.0745273574925,-94.56606773353369
178077001,Missouri College of Cosmetology and Esthetics,2520800,Main Campus,1753 Woodclift Dr.,JEFFERSON CITY,MO,65109,9,"Private for-profit, less-than 2-year",2.0,87.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1753 Woodclift Dr., JEFFERSON CITY, MO 65109",38.5710067,-92.2011163
178183002,Midwest Institute,2121100,Midwest Institute,4260 Shoreline Drive,Earth City,MO,63045,6,"Private for-profit, 2-year",21.0,183.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"4260 Shoreline Drive, Earth City, MO 63045",38.7699067,-90.4655423
178396005,University of Missouri-Columbia,251600,Jefferson Farm and Garden,4800 East New Haven Road,Columbia,MO,65201,1,"Public, 4-year or above",13746.0,17558.0,31304.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"4800 East New Haven Road, Columbia, MO 65201",38.91230103552482,-92.26535857748205
178396008,University of Missouri-Columbia,251600,South Farm,3600 New Haven Road,Columbia,MO,65201,1,"Public, 4-year or above",13746.0,17558.0,31304.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"3600 New Haven Road, Columbia, MO 65201",38.912558505050505,-92.285337979798
178402005,University of Missouri-Kansas City,251800,The UMKC Meddical School St Joseph,5325 Faraon Street ,St. Joseph,MO,64506,1,"Public, 4-year or above",6664.0,9039.0,15703.0,,,,0.0,0.0,0.0,0,0,0,0,1,1,"5325 Faraon Street , St. Joseph, MO 64506",39.7702143968254,-94.77175903174604
178411002,Missouri University of Science and Technology,251700,Missouri S&T Global-St. Louis,12837 Flushing Meadows Drive,St. Louis,MO,63131,1,"Public, 4-year or above",5377.0,1703.0,7080.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"12837 Flushing Meadows Drive, St. Louis, MO 63131",38.6082858,-90.4554631
178420002,University of Missouri-St Louis,251900,Computer Education & Training,12837 Flushing Meadows,Saint Louis,MO,63131,1,"Public, 4-year or above",6142.0,9039.0,15181.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"12837 Flushing Meadows, Saint Louis, MO 63131",38.6082858,-90.4554631
178448003,Moberly Area Community College,249100,Moberly Area Community College--Hannibal ,190 Shinn Lane,Hannibal,MO,63401,4,"Public, 2-year",1887.0,3130.0,5017.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"190 Shinn Lane, Hannibal, MO 63401",39.7080237,-91.4439358
178448004,Moberly Area Community College,249100,Moberly Area Community College--Kirksville ,2105 East Normal,Kirksville,MO,63501,4,"Public, 2-year",1887.0,3130.0,5017.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"2105 East Normal, Kirksville, MO 63501",40.189898,-92.56005435960353
178448005,Moberly Area Community College,249100,Moberly Area Community College--Mexico ,2900 Doreli Lane,Mexico,MO,65265,4,"Public, 2-year",1887.0,3130.0,5017.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"2900 Doreli Lane, Mexico, MO 65265",39.145865,-91.888701
178527001,Neosho Beauty College,2608000,Main Campus,116 N WOOD ST,NEOSHO,MO,64850,9,"Private for-profit, less-than 2-year",3.0,57.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"116 N WOOD ST, NEOSHO, MO 64850",36.86995789795918,-94.36853981632652
178615002,Truman State University,249500,University Farm,1818 W. LaHarpe,Kirksville,MO,63501,1,"Public, 4-year or above",1548.0,2412.0,3960.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1818 W. LaHarpe, Kirksville, MO 63501",40.17976800765965,-92.60054171131266
178624002,Northwest Missouri State University,249600,Northwest Kansas City Center,6889 North Oak Trafficway,Gladstone,MO,64118,1,"Public, 4-year or above",3255.0,5250.0,8505.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"6889 North Oak Trafficway, Gladstone, MO 64118",39.21914135,-94.57462769892304
178697001,College of the Ozarks,250000,Main Campus,100 Opportunity Ave,Point Lookout,MO,65726,2,"Private nonprofit, 4-year or above",647.0,840.0,1487.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"100 Opportunity Ave, Point Lookout, MO 65726",36.617958,-93.23650382366762
178721004,Park University,249800,Barstow,2700 Barstow Road,Barstow,CA,92311,2,"Private nonprofit, 4-year or above",4131.0,3531.0,7662.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"2700 Barstow Road, Barstow, CA 92311",34.8713569,-117.02448822483592
178721024,Park University,249800,Independence,20101 E. Jackson Drive,Independence,MO,64057,2,"Private nonprofit, 4-year or above",4131.0,3531.0,7662.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"20101 E. Jackson Drive, Independence, MO 64057",39.04089479528398,-94.34591963522656
178721051,Park University,249800,El Paso Campus,1330 Adabel Dr,El Paso,TX,79936,2,"Private nonprofit, 4-year or above",4131.0,3531.0,7662.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1330 Adabel Dr, El Paso, TX 79936",31.73285126315661,-106.30878943998508
178721052,Park University,249800,Victor Valley Campus,18422 Bear Valley Rd,Victorville,CA,92395,2,"Private nonprofit, 4-year or above",4131.0,3531.0,7662.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"18422 Bear Valley Rd, Victorville, CA 92395",34.47104081304049,-117.2601979331104
178721053,Park University,249800,Gilbert Campus,92 W. Vaughn Ave.,Gilbert,AZ,85233,2,"Private nonprofit, 4-year or above",4131.0,3531.0,7662.0,0.0,29.0,0.0,0.0,1.0,0.0,0,0,1,1,1,1,"92 W. Vaughn Ave., Gilbert, AZ 85233",33.35638305,-111.79222764794169
178721054,Park University,249800,Lenexa Campus,17101 W. 87th St. Parkway,Lenexa,KS,66219,2,"Private nonprofit, 4-year or above",4131.0,3531.0,7662.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,1,1,1,"17101 W. 87th St. Parkway, Lenexa, KS 66219",38.96987285,-94.78400275
178767001,Stevens-The Institute of Business & Arts,855200,Main Campus,1521 Washington AVe,Saint Louis,MO,63103,3,"Private for-profit, 4-year or above",15.0,73.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1521 Washington AVe, Saint Louis, MO 63103",38.63299645,-90.20121660794295
178891002,Ranken Technical College,1250000,Ranken West (Wentzville),755 Parr Rd.,Wentzville,MO,63385,2,"Private nonprofit, 4-year or above",1524.0,147.0,1671.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"755 Parr Rd., Wentzville, MO 63385",38.8311268,-90.8319025
178891003,Ranken Technical College,1250000,Ranken Southeast - Perryville,1205 Corporation Lane,Perryville,MO,63775,2,"Private nonprofit, 4-year or above",1524.0,147.0,1671.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"1205 Corporation Lane, Perryville, MO 63775",37.7493863649201,-89.87601077377977
179159002,Saint Louis University,250600,"Saint Louis University-Madrid, Spain","Avenida del Valle, 34",Madrid,,28003,2,"Private nonprofit, 4-year or above",6451.0,9304.0,15755.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,,46.3144754,11.0480288
179159003,Saint Louis University,250600,Joe & Loretta Scott Law Center,100 North Tucker,Saint Louis,MO,63104,2,"Private nonprofit, 4-year or above",6451.0,9304.0,15755.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,1,"100 North Tucker, Saint Louis, MO 63104",38.6282394,-90.1976418
179308001,Saint Louis Community College,247100,St. Louis Community College- Forest Park,5600 Oakland,SAINT LOUIS,MO,63110,4,"Public, 2-year",4950.0,9351.0,14301.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"5600 Oakland, SAINT LOUIS, MO 63110",38.6294505,-90.2711945
179308002,Saint Louis Community College,247100,HARRISON CENTER,3140 Cass,Saint Louis,MO,63106,4,"Public, 2-year",4950.0,9351.0,14301.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"3140 Cass, Saint Louis, MO 63106",38.6467393,-90.22384391632644
179308004,Saint Louis Community College,247100,Saint Louis Community College-Florissant Valley,3400 Pershall Road,Saint Louis,MO,63135,4,"Public, 2-year",4950.0,9351.0,14301.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"3400 Pershall Road, Saint Louis, MO 63135",38.77062112996371,-90.28272026499673
179308005,Saint Louis Community College,247100,Saint Louis Community College - Wildwood,2645 Generations Drive,Wildwood,MO,63040,4,"Public, 2-year",4950.0,9351.0,14301.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"2645 Generations Drive, Wildwood, MO 63040",38.57380445,-90.64932488500324
179308006,Saint Louis Community College,247100,Saint Louis Community College-Meramec,11333 Big Bend Road,Saint Louis,MO,63122,4,"Public, 2-year",4950.0,9351.0,14301.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,"11333 Big Bend Road, Saint Louis, MO 63122",38.56878825,-90.42066224946116
