UNITID_P,INSTNM,OPEID,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD20,NEG_M20,RAPE20,FONDL20,INCES20,STATR20,ROBBE20,AGG_A20,BURGLA20,VEHIC20,ARSON20,MURD21,NEG_M21,RAPE21,FONDL21,INCES21,STATR21,ROBBE21,AGG_A21,BURGLA21,VEHIC21,ARSON21,MURD22,NEG_M22,RAPE22,FONDL22,INCES22,STATR22,ROBBE22,AGG_A22,BURGLA22,VEHIC22,ARSON22,FILTER20,FILTER21,FILTER22,Full_Address,Latitude,Longitude
446552002,Southern Technical College,3903500,Southern Technical College - Sanford,2910 S. Orlando Dr,Sanford,FL,32773,6,"Private for-profit, 2-year",813.0,708.0,1521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"2910 S. Orlando Dr, Sanford, FL 32773",28.7656552,-81.2826771
446552004,Southern Technical College,3903500,Southern Technical College- Auburndale,450 Havendale Blvd,Auburndale,FL,33823,6,"Private for-profit, 2-year",813.0,708.0,1521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"450 Havendale Blvd, Auburndale, FL 33823",28.055207874999997,-81.778288625
446552005,Southern Technical College,3903500,Southern Technical College - Brandon,608 East Bloomingdale Ave,Brandon,FL,33511,6,"Private for-profit, 2-year",813.0,708.0,1521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"608 East Bloomingdale Ave, Brandon, FL 33511",27.8943623,-82.2744714585694
446561002,Stanbridge University,3889300,Stanbridge University - Los Angeles,2215 West Mission Road,Alhambra,CA,91803,3,"Private for-profit, 4-year or above",486.0,1773.0,2259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"2215 West Mission Road, Alhambra, CA 91803",34.08000562443718,-118.14836322777327
446774001,Blue Ridge Community and Technical College,3957300,Main Campus,13650 Apple Harvest Dr.,Martinsburg,WV,25403,4,"Public, 2-year",1662.0,2585.0,4247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"13650 Apple Harvest Dr., Martinsburg, WV 25403",39.4356987,-78.00169537322262
447023001,Delta Technical College-Mississippi,3368301,Delta Technical College,6530 Interstate Blvd,Horn Lake,MS,38637,9,"Private for-profit, less-than 2-year",820.0,1161.0,1981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"6530 Interstate Blvd, Horn Lake, MS 38637",34.9539207368421,-90.00605659649123
447175001,Empire Beauty School-Aurora,2173207,"Empire Beauty School -AURORA, CO",16800 E. Mississippi Ave.,Aurora,CO,80017,9,"Private for-profit, less-than 2-year",4.0,69.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"16800 E. Mississippi Ave., Aurora, CO 80017",39.69591485,-104.79255391381938
447421001,Eagle Gate College-Layton,2178501,Layton Campus,915 N 400 W,Layton,UT,84041,3,"Private for-profit, 4-year or above",22.0,201.0,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"915 N 400 W, Layton, UT 84041",41.0844331,-111.9734774
447467001,Unitech Training Academy-West Monroe,3789301,Branch Campus - West Monroe,111 Crosley Street,West Monroe,LA,71291,9,"Private for-profit, less-than 2-year",5.0,93.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"111 Crosley Street, West Monroe, LA 71291",32.5064752,-92.1296138
447582002,New River Community and Technical College,3960300,New River Community and Technical College-ATC Ghent,527 Odd road,Ghent,WV,25843,4,"Public, 2-year",332.0,675.0,1007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"527 Odd road, Ghent, WV 25843",37.609316536665,-81.12721333130513
447582004,New River Community and Technical College,3960300,New River Community and Technical College-Mercer County Campus,1001 Mercer Street,Princeton,WV,24740,4,"Public, 2-year",332.0,675.0,1007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,"1001 Mercer Street, Princeton, WV 24740",37.369224,-81.096652
